team_name,home_stadium,matches_play,wins,losses,Goals,Goals_per_match,Shots,Shots_on_target,Shooting_accuracy_in_per,Penalties_scored,Big_Chances_Created,Hit_woodwork,Passes,Passes_per_match,Pass_accuracy_in_per,Crosses,Cross_accuracy_in_per,Clean_sheets,Goals_Conceded,Goals_conceded_per_match,Saves,Tackles,Tackle_success_in_per,Blocked_shots,Interceptions,Clearances,Headed_Clearance,Aerial_Battles_or_Duels_Won,Errors_leading_to_goal,Own_goals,Yellow_cards,Red_cards,Fouls,Offsides
Arsenal,Emirates Stadium,1508,839,334,2741,1.82,14008,5076,36%,110,1487,403,498781,330.76,84%,18773,22%,564,1526,1.01,1956,16877,69%,3698,12562,21021,8653,63039,178,64,2263,122,3545,2074
Aston Villa,Villa Park,1228,450,451,1572,1.28,8134,2757,34%,59,660,201,254089,206.91,78%,13801,25%,347,1619,1.32,1222,12189,70%,2069,8362,18699,6702,44600,121,60,1938,75,2308,1343
Bournemouth,Vitality Stadium,456,178,187,650,1.43,4318,1493,35%,37,422,115,135830,297.87,79%,6184,28%,117,690,1.51,1057,5154,64%,1173,3655,8025,4005,22392,65,20,757,23,1765,536
Brentford,Gtech Community Stadium,311,132,110,499,1.6,2349,907,39%,30,304,58,70872,227.88,78%,3399,32%,81,415,1.33,668,2809,59%,562,1683,3717,1789,11688,30,11,423,15,941,345
Brighton & Hove Albion,American Express Stadium,468,170,163,617,1.32,4740,1596,34%,43,491,109,169716,362.64,83%,6336,27%,137,603,1.29,989,5831,59%,1285,3470,6468,3400,22816,52,31,780,35,2160,697
Chelsea,Stamford Bridge,1573,867,352,2803,1.78,16165,5748,36%,149,1505,402,533825,339.37,85%,20009,24%,610,1578,1.0,1918,18583,70%,4218,11751,21538,8844,66611,135,53,2503,108,3901,2288
Crystal Palace,Selhurst Park,786,257,325,941,1.2,6027,2055,34%,65,588,141,200908,255.61,77%,9296,24%,214,1079,1.37,1523,9574,66%,1642,6416,12381,6373,38826,81,32,1203,39,3256,930
Everton,Goodison Park,1352,501,493,1777,1.31,10337,3533,34%,75,882,251,320658,237.17,78%,16675,24%,407,1754,1.3,1610,14750,70%,2743,9745,23000,8908,54626,138,65,2111,115,3060,1653
Fulham,Craven Cottage,833,283,343,1041,1.25,6764,2239,33%,46,453,180,226918,272.41,79%,10492,25%,229,1166,1.4,988,9765,69%,1739,6823,16223,5470,33651,80,49,1306,60,1502,1087
Ipswich Town,Portman Road,581,207,223,749,1.29,955,341,36%,4,79,28,23926,41.18,81%,1255,42%,172,769,1.32,223,849,61%,249,495,1239,607,3798,15,17,817,32,422,156
Leicester City,King Power Stadium,978,382,375,1400,1.43,6971,2477,36%,73,841,162,250559,256.2,80%,9956,23%,269,1325,1.35,1537,9845,65%,1827,6580,11524,6039,38379,61,45,1376,69,3370,961
Liverpool,Anfield,1516,838,338,2786,1.84,15958,5578,35%,126,1586,444,517858,341.59,83%,20454,23%,575,1545,1.02,1633,18142,70%,4130,10835,20766,8130,62642,172,52,1929,69,3995,2053
Manchester City,Etihad Stadium,1347,729,362,2553,1.9,15633,5679,36%,150,1764,428,559160,415.12,86%,19209,23%,470,1457,1.08,1445,16528,70%,4182,11400,19970,7815,59359,122,47,1939,94,3662,2053
Manchester United,Old Trafford,1554,932,303,2899,1.87,14495,5262,36%,139,1411,381,499788,321.61,84%,19870,23%,628,1506,0.97,2007,17622,69%,3811,12322,23741,9976,62192,116,60,2330,99,4223,2197
Newcastle United,St. James' Park,1217,477,443,1703,1.4,8953,2986,33%,62,803,230,271839,223.37,77%,13970,24%,326,1632,1.34,1413,12843,69%,2380,8547,18631,7287,48214,111,42,1848,97,2706,1362
Nottingham Forest,The City Ground,602,213,235,740,1.23,1712,584,34%,11,186,42,47288,78.55,77%,2233,30%,156,824,1.37,456,2344,60%,435,1243,3307,1557,8848,20,18,982,42,884,315
Southampton,St. Mary's Stadium,1106,373,460,1414,1.28,6958,2421,35%,47,683,194,239482,216.53,79%,10883,24%,293,1600,1.45,1332,9746,67%,1783,7004,12755,5857,37363,113,51,1673,76,2888,1076
Tottenham Hotspur,Tottenham Hotspur Stadium,1471,668,474,2366,1.61,13668,4879,36%,98,1311,349,451682,307.06,83%,18257,22%,420,1864,1.27,1835,17181,70%,3672,11784,23972,9822,61577,181,51,2171,90,3894,1942
West Ham United,London Stadium,1252,454,499,1621,1.29,9673,3193,33%,72,767,274,298943,238.77,78%,15773,24%,336,1787,1.43,1855,13766,69%,2504,9369,22327,9122,53580,116,57,1981,100,2870,1700
Wolverhampton Wanderers,Molineux Stadium,528,172,238,618,1.17,5116,1701,33%,35,480,140,185386,351.11,79%,8570,25%,127,784,1.48,957,7520,63%,1352,4953,10363,4446,28428,63,24,897,38,2005,781
